"crawl","fetch_200","fetch_gone","fetch_redirPerm","fetch_redirTemp","fetch_notModified","fetch_3xx","fetch_4xx","fetch_5xx","fetch_other"
"CC-MAIN-2021-49",47,3,16,0,0,0,0,0,0
"CC-MAIN-2022-05",88,4,14,0,0,0,0,0,0
"CC-MAIN-2022-21",77,0,16,0,0,0,0,0,0
"CC-MAIN-2022-33",180,2,16,0,0,0,0,0,0
"CC-MAIN-2022-40",94,0,8,0,0,0,0,0,0
"CC-MAIN-2022-49",206,1,13,0,0,0,0,0,0
"CC-MAIN-2023-06",118,1,4,0,0,0,0,0,0
"CC-MAIN-2023-14",386,1,274,0,0,0,0,0,0
"CC-MAIN-2023-23",212,2,16,0,0,0,0,0,0
"CC-MAIN-2023-40",253,11,133,0,0,0,1,0,0
"CC-MAIN-2023-50",66,9,150,0,0,0,0,0,0
"CC-MAIN-2024-10",137,4,73,0,0,0,0,0,0
"CC-MAIN-2024-18",78,4,37,0,0,0,6,0,0
"CC-MAIN-2024-22",107,5,77,0,0,0,0,0,0
"CC-MAIN-2024-26",101,5,62,0,0,0,0,0,0
"CC-MAIN-2024-30",218,1,23,0,0,0,0,0,0
"CC-MAIN-2024-33",128,0,41,0,0,0,0,0,0
"CC-MAIN-2024-38",144,1,44,0,0,0,1,0,0
"CC-MAIN-2024-42",141,1,38,0,0,0,0,0,0
"CC-MAIN-2024-46",251,1,49,0,0,0,2,0,0
"CC-MAIN-2024-51",262,1,26,0,0,0,2,0,0
"CC-MAIN-2025-05",191,3,30,0,0,0,2,0,0
"CC-MAIN-2025-08",168,1,25,0,0,0,1,0,0
"CC-MAIN-2025-13",162,1,28,0,0,0,5,0,0
