"crawl","nutch_numRecords","nutch_fetched","nutch_unfetched","nutch_gone","nutch_redirTemp","nutch_redirPerm","nutch_notModified"
"CC-MAIN-2021-49",197,163,6,0,0,17,11
"CC-MAIN-2022-05",7,0,0,0,0,7,0
"CC-MAIN-2022-21",162,109,11,5,0,22,15
"CC-MAIN-2022-33",310,122,155,6,0,18,9
"CC-MAIN-2022-40",305,266,9,7,0,14,9
"CC-MAIN-2022-49",6,0,0,0,0,6,0
"CC-MAIN-2023-06",324,269,31,5,0,12,7
"CC-MAIN-2023-14",337,297,20,6,0,9,5
"CC-MAIN-2023-23",330,311,5,6,0,3,5
"CC-MAIN-2023-40",542,312,215,7,0,3,5
"CC-MAIN-2023-50",554,457,20,8,0,65,4
"CC-MAIN-2024-10",529,394,11,6,0,114,4
"CC-MAIN-2024-18",520,365,15,4,0,135,1
"CC-MAIN-2024-22",533,350,37,5,0,141,0
"CC-MAIN-2024-26",430,338,14,5,0,73,0
"CC-MAIN-2024-30",484,271,137,1,0,75,0
"CC-MAIN-2024-33",328,255,5,1,0,67,0
"CC-MAIN-2024-38",337,259,10,0,0,68,0
"CC-MAIN-2024-42",343,263,6,0,0,74,0
"CC-MAIN-2024-46",530,431,23,0,0,76,0
"CC-MAIN-2024-51",630,450,101,0,0,79,0
"CC-MAIN-2025-05",652,548,26,0,0,78,0
"CC-MAIN-2025-08",654,561,11,0,0,82,0
"CC-MAIN-2025-13",658,570,12,1,0,75,0
