"crawl","nutch_numRecords","nutch_fetched","nutch_unfetched","nutch_gone","nutch_redirTemp","nutch_redirPerm","nutch_notModified","nutch_fetched_pct","nutch_unfetched_pct","nutch_gone_pct","nutch_redirTemp_pct","nutch_redirPerm_pct","nutch_notModified_pct"
"CC-MAIN-2021-49",197,163,6,0,0,17,11,83,3,0,0,9,6
"CC-MAIN-2022-05",7,0,0,0,0,7,0,0,0,0,0,100,0
"CC-MAIN-2022-21",162,109,11,5,0,22,15,67,7,3,0,14,9
"CC-MAIN-2022-33",310,122,155,6,0,18,9,39,50,2,0,6,3
"CC-MAIN-2022-40",305,266,9,7,0,14,9,87,3,2,0,5,3
"CC-MAIN-2022-49",6,0,0,0,0,6,0,0,0,0,0,100,0
"CC-MAIN-2023-06",324,269,31,5,0,12,7,83,10,2,0,4,2
"CC-MAIN-2023-14",337,297,20,6,0,9,5,88,6,2,0,3,1
"CC-MAIN-2023-23",330,311,5,6,0,3,5,94,2,2,0,1,2
"CC-MAIN-2023-40",542,312,215,7,0,3,5,58,40,1,0,1,1
"CC-MAIN-2023-50",554,457,20,8,0,65,4,82,4,1,0,12,1
"CC-MAIN-2024-10",529,394,11,6,0,114,4,74,2,1,0,22,1
"CC-MAIN-2024-18",520,365,15,4,0,135,1,70,3,1,0,26,0
"CC-MAIN-2024-22",533,350,37,5,0,141,0,66,7,1,0,26,0
"CC-MAIN-2024-26",430,338,14,5,0,73,0,79,3,1,0,17,0
"CC-MAIN-2024-30",484,271,137,1,0,75,0,56,28,0,0,15,0
"CC-MAIN-2024-33",328,255,5,1,0,67,0,78,2,0,0,20,0
"CC-MAIN-2024-38",337,259,10,0,0,68,0,77,3,0,0,20,0
"CC-MAIN-2024-42",343,263,6,0,0,74,0,77,2,0,0,22,0
"CC-MAIN-2024-46",530,431,23,0,0,76,0,81,4,0,0,14,0
"CC-MAIN-2024-51",630,450,101,0,0,79,0,71,16,0,0,13,0
"CC-MAIN-2025-05",652,548,26,0,0,78,0,84,4,0,0,12,0
"CC-MAIN-2025-08",654,561,11,0,0,82,0,86,2,0,0,13,0
"CC-MAIN-2025-13",658,570,12,1,0,75,0,87,2,0,0,11,0
