"crawl","warc_record_length_av","warc_record_length_median"
"CC-MAIN-2021-49","12019","7336"
"CC-MAIN-2022-05","9384","6931"
"CC-MAIN-2022-21","12272","8312"
"CC-MAIN-2022-33","16850","8239"
"CC-MAIN-2022-40","12596","8236"
"CC-MAIN-2022-49","14759","8238"
"CC-MAIN-2023-06","16850","9740"
"CC-MAIN-2023-14","12174","8723"
"CC-MAIN-2023-23","15112","9550"
"CC-MAIN-2023-40","5658","5207"
"CC-MAIN-2023-50","5921","5526"
"CC-MAIN-2024-10","10726","10417"
"CC-MAIN-2024-18","11684","11428"
"CC-MAIN-2024-22","13771","11798"
"CC-MAIN-2024-26","12065","11704"
"CC-MAIN-2024-30","12803","12052"
"CC-MAIN-2024-33","14480","12254"
"CC-MAIN-2024-38","12833","11842"
"CC-MAIN-2024-42","13716","13135"
"CC-MAIN-2024-46","13264","13344"
"CC-MAIN-2024-51","14269","13858"
"CC-MAIN-2025-05","13756","14103"
"CC-MAIN-2025-08","14002","13798"
"CC-MAIN-2025-13","14589","14068"
